step	exit_code	stdout	stderr	command
01-record-export-recorded.json	0	dogfood/20260323-week5-render-timing/01-record-export-recorded.json.out	dogfood/20260323-week5-render-timing/logs/01-record-export-recorded.json.stderr.txt	npx tsx src/cli/main.ts record export 01W5TIMNG1774283448 --format webm --timing recorded --out dogfood/20260323-week5-render-timing/recordings/recorded.webm --json
02-record-export-accelerated.json	0	dogfood/20260323-week5-render-timing/02-record-export-accelerated.json.out	dogfood/20260323-week5-render-timing/logs/02-record-export-accelerated.json.stderr.txt	npx tsx src/cli/main.ts record export 01W5TIMNG1774283448 --format webm --timing accelerated --out dogfood/20260323-week5-render-timing/recordings/accelerated.webm --json
03-record-export-max-speed.json	0	dogfood/20260323-week5-render-timing/03-record-export-max-speed.json.out	dogfood/20260323-week5-render-timing/logs/03-record-export-max-speed.json.stderr.txt	npx tsx src/cli/main.ts record export 01W5TIMNG1774283448 --format webm --timing max-speed --out dogfood/20260323-week5-render-timing/recordings/max-speed.webm --json
